Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R604,10k,R_0402_1005Metric,129.500000,-99.500000,90.000000,top
R605,10k,R_0402_1005Metric,129.500000,-97.590000,-90.000000,top
R606,1k5,R_0402_1005Metric,154.559000,-99.058000,90.000000,top
R607,10k,R_0402_1005Metric,144.500000,-99.600000,90.000000,top
R608,1k5,R_0402_1005Metric,150.622000,-99.062000,90.000000,top
R609,10k,R_0402_1005Metric,144.500000,-97.700000,-90.000000,top
R610,1k5,R_0402_1005Metric,146.812000,-99.060000,90.000000,top
SW601,boot,SW_SPST_B3U-3000P,97.500000,-147.500000,90.000000,top
SW602,SW_Push,SW_SPST_B3U-3000P,97.500000,-140.000000,90.000000,top
SW603,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,109.000000,-99.500000,180.000000,top
SW604,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,124.000000,-99.500000,180.000000,top
SW605,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,139.000000,-99.500000,180.000000,top
U201,NCV7329,NCV7329,145.260000,-143.900000,-90.000000,top
U301,LAN8742A,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,135.830000,-115.030000,0.000000,top
U302,CND-tek B1601S,CND-Tek B1601S,126.500000,-111.255000,90.000000,top
U401,USBLC6-2SC6,SOT-23-6,108.750000,-152.462500,270.000000,top
U501,TDPOWER TAS12-5-W2,TD POWER TAS12-5-W2,126.500000,-144.400000,90.000000,top
U502,TPS563201,TPS563201,109.175000,-132.750000,90.000000,top
U601,STM32F407VETx,LQFP-100_14x14mm_P0.5mm,153.170000,-118.320000,180.000000,top
Y301,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,136.220000,-121.280000,180.000000,top
e501,Conn_01x03,"PhoenixContact_MC_1,5_3-G-5.08_1x03_P5.08mm_Horizontal",143.000000,-155.800000,0.000000,top
